ID;Q1;Q2;Q3;Q4;Q5;Q6;Q7;Q8;Q9;Q10;Q11;Q12;Q13;Q14;Q15;Q16;Q17;Q18;Q19;Q20;Q21;Q22;Q23;Q24;Q25;Q26
10441016017;5;5;5;5;3;4;4;1;5;5;3;5;5;4;5;5;4;4;4;2;2;5;5;2;2;4
10440981694;3;4;4;4;3;4;3;2;4;3;3;3;3;3;4;3;3;3;4;3;3;3;3;2;2;4
10440601239;1;1;3;4;1;1;1;1;1;1;2;1;2;1;1;5;5;5;5;3;2;3;3;3;3;2
10440562981;4;4;4;5;3;3;3;2;2;3;3;3;4;4;5;5;5;5;5;5;5;5;5;4;4;5
10440358563;3;4;5;5;3;5;5;2;3;5;3;3;3;2;5;5;5;5;5;5;5;5;2;2;3;5
10440199369;4;4;5;5;3;4;4;4;4;4;4;3;3;3;5;4;4;4;4;4;4;4;4;4;4;4
10438952564;3;4;5;4;3;3;2;4;3;2;2;3;4;3;5;3;4;3;2;4;2;2;2;2;2;4
10438951127;4;4;5;5;3;4;3;4;4;4;3;3;4;5;5;3;5;4;3;4;3;3;4;5;5;3
10438633244;2;2;2;2;1;4;2;2;3;2;3;2;3;2;1;2;2;2;3;3;2;3;3;2;3;5
10438605204;5;5;4;5;4;4;4;3;3;4;5;5;5;4;5;5;5;5;5;4;4;4;5;4;4;4
10438555688;4;4;3;3;3;5;3;2;3;4;4;3;3;4;5;3;4;4;4;4;2;4;5;2;3;4
10438426616;3;NA;4;4;4;3;2;3;3;2;2;3;3;4;3;2;2;2;2;3;4;3;3;3;3;3
10438410747;4;4;4;4;4;3;4;3;4;3;4;3;4;3;4;5;4;4;4;3;4;2;4;2;3;5
10438330592;2;1;3;4;1;4;2;3;1;2;1;3;3;4;4;2;2;2;2;3;2;3;4;4;3;4
10438253840;4;4;3;4;3;4;3;2;2;3;3;3;3;3;3;2;3;3;3;2;2;2;4;4;2;3
10438244838;5;5;5;4;4;5;4;2;3;5;5;4;5;5;5;5;5;5;5;5;5;4;4;5;5;4
10437932648;4;4;4;4;3;3;3;4;4;4;3;4;3;3;4;4;4;4;3;3;3;4;4;4;4;4
10437851519;5;4;4;5;5;5;4;3;4;5;5;4;4;3;5;3;4;5;4;4;4;4;5;3;4;4
10437739424;4;4;4;4;3;4;2;3;2;3;3;3;2;2;4;4;4;4;5;3;4;3;4;4;4;3
10437660060;4;4;3;5;4;4;3;3;3;4;4;4;4;4;4;4;4;4;5;5;4;5;5;4;4;5
10437406920;4;5;5;5;3;3;4;2;2;4;4;4;3;3;4;3;4;4;3;3;4;3;4;4;3;4
10437107325;3;2;3;4;2;3;3;1;3;3;3;2;1;1;4;3;3;3;3;3;2;2;2;3;2;3
10436574123;4;3;2;3;3;1;4;3;2;3;4;3;5;2;3;2;3;3;2;5;5;3;4;4;4;4
10436558733;4;3;2;3;4;5;3;2;4;3;3;3;3;3;5;3;4;4;4;3;4;4;5;3;4;4
10436460608;4;2;5;4;4;4;4;3;5;4;4;5;5;5;5;5;3;3;3;3;4;5;5;5;5;4
10436314320;3;3;5;5;3;4;4;2;3;3;3;3;3;5;5;4;4;2;2;2;2;2;3;3;3;4
10436225280;5;5;5;5;4;4;4;5;3;5;3;5;5;5;5;5;5;5;5;5;3;5;5;3;5;5
10436203464;4;5;5;5;4;4;5;4;4;5;5;5;5;4;5;5;5;5;5;5;4;4;5;4;5;5
10436156058;2;5;1;2;1;1;2;3;2;1;2;1;4;1;1;2;2;3;2;2;2;2;3;3;2;3
10436150258;2;3;3;4;2;1;2;2;1;1;1;1;2;2;3;3;4;5;3;3;3;3;2;2;3;3
10435879845;4;4;5;5;2;4;4;3;4;4;4;4;4;3;4;3;4;4;4;3;3;3;3;4;4;4
10435863659;3;4;4;5;2;3;4;3;3;3;4;3;4;3;5;4;4;5;3;4;3;3;2;4;3;4
10435630308;5;4;5;5;4;4;4;2;3;3;3;3;4;3;5;3;3;4;5;4;5;3;5;2;5;4
10435527041;5;2;2;1;3;5;1;3;1;3;5;5;5;3;5;3;5;3;3;3;5;5;5;5;5;2
10435406111;3;4;4;3;3;4;3;3;4;4;3;3;4;4;5;3;4;4;3;3;2;3;4;4;4;4
10435354106;5;5;4;4;4;4;4;4;4;5;5;4;4;5;5;2;4;5;5;4;5;4;3;5;4;5
10435336690;2;2;5;4;2;4;4;2;2;3;5;2;3;2;4;3;3;3;3;4;4;4;3;2;5;4
10435179651;3;3;3;3;3;3;4;2;3;3;3;4;4;3;4;3;4;4;4;4;4;4;3;3;3;5
10435102033;3;4;5;5;2;2;5;4;2;4;4;3;5;1;5;5;5;5;3;2;2;3;3;4;4;3
10435043872;4;4;4;5;3;4;4;2;3;4;3;4;4;4;5;4;4;4;4;3;3;3;4;3;3;4
10435010223;4;4;4;2;4;4;4;2;3;3;4;5;5;5;5;2;4;4;4;4;3;3;5;3;4;4
10434768498;4;4;4;4;3;4;4;4;4;4;4;3;4;4;4;4;5;4;4;4;4;5;5;4;5;5
10434726796;4;4;4;5;2;4;4;2;3;4;4;5;4;5;4;4;4;4;4;4;4;4;4;4;4;4
10434724546;5;4;5;3;4;4;4;3;3;4;4;3;4;4;5;4;4;4;3;3;3;3;4;3;3;4
10434392442;4;3;5;5;4;4;4;2;3;4;3;3;4;4;5;4;4;4;4;4;4;3;3;5;4;4
10434365604;4;4;5;4;3;4;3;4;3;5;4;5;4;2;5;2;2;3;4;2;5;2;2;4;4;4
10434217408;4;4;5;5;4;4;3;1;3;4;4;4;3;4;4;2;4;4;4;4;4;3;5;5;3;4
10434137035;4;2;4;5;3;4;5;4;3;3;3;4;5;3;4;2;4;4;4;4;4;5;5;5;5;4
10434060438;4;4;5;5;2;5;4;1;3;4;3;2;5;1;4;3;2;4;4;4;3;4;4;3;3;4
10434015442;5;5;3;4;5;5;5;5;2;4;5;4;3;4;5;4;3;3;5;5;4;5;5;4;5;4
10433972348;4;4;5;5;4;5;4;4;4;5;5;5;5;4;5;5;5;5;5;4;4;4;4;4;4;5
10433935087;NA;2;3;2;3;3;3;3;3;3;3;2;3;3;4;2;2;3;2;2;3;3;3;3;3;2
10433882609;4;4;4;4;4;4;3;3;4;4;4;3;4;4;4;3;4;4;4;3;3;3;4;4;4;4
10433817526;4;3;4;4;3;4;3;2;3;3;3;3;3;2;5;2;4;4;3;2;2;2;2;2;3;4
10433355776;4;5;4;4;4;5;4;4;3;3;4;3;3;4;5;4;4;5;5;5;2;4;4;2;4;5
10433307352;2;3;4;5;3;5;3;4;4;4;3;1;3;2;4;2;2;3;3;3;4;2;3;2;2;4
10433188613;3;4;4;4;3;4;4;3;3;4;4;2;3;3;5;5;4;4;3;4;5;3;3;2;4;4
10433123998;4;3;3;3;4;4;3;3;4;3;2;3;3;3;3;2;3;3;4;3;2;3;4;4;5;3
10433051610;4;4;4;4;2;3;2;3;1;4;3;3;4;2;5;4;4;4;3;2;3;2;2;3;3;4
10433008526;4;3;4;4;3;4;3;3;3;3;2;3;4;3;3;2;2;2;3;3;3;3;4;3;3;3
10432933955;5;4;4;3;5;5;5;5;4;5;5;5;5;5;5;5;4;4;5;3;2;3;2;3;3;4
10432870055;4;3;4;4;3;2;3;3;4;3;5;4;4;3;4;4;3;3;3;4;4;4;5;5;5;1
10432817924;4;4;4;4;3;5;4;3;3;4;4;3;3;2;4;3;4;4;4;3;4;3;4;4;4;4
10432791956;2;4;4;2;2;4;5;1;3;5;4;3;4;3;2;4;4;4;4;2;4;2;2;2;2;5
10432778225;3;3;5;5;4;3;3;3;3;3;3;3;3;3;5;4;4;4;4;4;4;4;4;4;4;5
10432776660;4;4;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5
10432736829;4;2;3;2;4;4;2;2;4;3;1;1;4;3;5;4;3;3;3;3;3;3;4;2;4;3
10432735450;5;5;5;5;4;5;4;5;4;4;5;5;4;4;5;4;4;4;4;5;5;4;4;5;5;5
10432729612;4;4;3;3;2;4;4;3;4;3;4;2;4;2;3;2;2;2;2;4;3;5;4;3;2;3
10432696146;3;3;4;4;3;4;3;2;3;4;4;2;4;3;4;4;3;4;3;4;2;4;4;4;3;5
10432626890;4;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;3;4
10432613091;5;4;4;5;5;5;5;3;4;5;5;5;5;5;5;4;5;5;5;4;5;5;4;5;4;4
10432606334;4;4;5;4;3;4;4;3;4;4;5;2;3;4;5;5;4;4;5;3;2;4;5;4;5;5
10432517607;4;3;5;5;NA;4;3;2;4;3;5;2;4;3;5;3;3;5;3;5;5;5;5;3;2;4
10432516145;5;5;5;5;3;4;4;1;4;5;4;5;5;4;5;5;5;5;5;4;5;5;5;4;5;5
10432504217;4;3;4;4;2;3;2;3;2;3;3;3;4;3;5;4;3;3;3;2;3;2;5;4;4;4
10432501269;3;5;5;3;2;4;3;4;3;4;3;5;4;2;5;4;4;4;3;2;2;3;5;5;5;4
10432460605;3;1;4;4;3;4;3;2;3;3;4;2;4;4;5;2;2;2;2;5;2;3;3;4;3;3
10432368808;4;3;5;5;4;5;3;3;5;4;5;2;3;4;5;4;3;2;2;3;3;2;4;4;3;4
10432338283;5;4;5;4;3;5;4;3;4;4;4;3;5;4;5;4;4;4;4;4;4;3;4;4;4;4
10432307861;2;1;4;4;2;3;1;2;2;2;4;2;2;3;3;3;2;2;2;3;2;2;3;3;3;2
10432307052;4;5;5;5;3;4;5;2;3;5;5;3;4;3;5;4;5;5;4;4;4;4;5;2;4;4
10432195786;4;4;5;5;3;4;3;2;4;3;5;3;4;3;5;2;3;3;3;3;4;3;2;2;4;4
10432157506;3;4;4;4;3;3;2;2;3;3;4;3;3;3;4;3;3;4;4;4;3;3;3;4;3;4
10432155626;4;5;3;5;3;4;4;4;3;3;2;3;4;3;4;2;3;3;3;4;2;3;2;4;3;4
10432119400;4;4;5;3;4;4;4;2;3;4;4;3;4;4;5;5;5;5;5;4;4;4;4;3;3;4
