ID;criterion;value;detail
10439125905;dropout;NA;No valid responses in Q1-Q26
10439033965;dropout;NA;No valid responses in Q1-Q26
10438787754;dropout;NA;No valid responses in Q1-Q26
10438718335;dropout;NA;No valid responses in Q1-Q26
10438355684;dropout;NA;No valid responses in Q1-Q26
10437302815;dropout;NA;No valid responses in Q1-Q26
10436259946;dropout;NA;No valid responses in Q1-Q26
10435354790;dropout;NA;No valid responses in Q1-Q26
10435076882;dropout;NA;No valid responses in Q1-Q26
10434378290;dropout;NA;No valid responses in Q1-Q26
10434011916;dropout;NA;No valid responses in Q1-Q26
10432760576;dropout;NA;No valid responses in Q1-Q26
10432686274;dropout;NA;No valid responses in Q1-Q26
10432642687;dropout;NA;No valid responses in Q1-Q26
10432514024;dropout;NA;No valid responses in Q1-Q26
10432086225;dropout;NA;No valid responses in Q1-Q26
10431807009;dropout;NA;No valid responses in Q1-Q26
10431679588;dropout;NA;No valid responses in Q1-Q26
10431649056;dropout;NA;No valid responses in Q1-Q26
10431628748;dropout;NA;No valid responses in Q1-Q26
10431621098;dropout;NA;No valid responses in Q1-Q26
10431479066;dropout;NA;No valid responses in Q1-Q26
10430822992;dropout;NA;No valid responses in Q1-Q26
10430807552;dropout;NA;No valid responses in Q1-Q26
10430781884;dropout;NA;No valid responses in Q1-Q26
10430765934;dropout;NA;No valid responses in Q1-Q26
10430668381;dropout;NA;No valid responses in Q1-Q26
10430636140;dropout;NA;No valid responses in Q1-Q26
10430625361;dropout;NA;No valid responses in Q1-Q26
10430513711;dropout;NA;No valid responses in Q1-Q26
10430497954;dropout;NA;No valid responses in Q1-Q26
10430495428;dropout;NA;No valid responses in Q1-Q26
10430491603;dropout;NA;No valid responses in Q1-Q26
10430481591;dropout;NA;No valid responses in Q1-Q26
10430477352;dropout;NA;No valid responses in Q1-Q26
10430472966;dropout;NA;No valid responses in Q1-Q26
10430470398;dropout;NA;No valid responses in Q1-Q26
10430461434;dropout;NA;No valid responses in Q1-Q26
10430428393;dropout;NA;No valid responses in Q1-Q26
10430422987;dropout;NA;No valid responses in Q1-Q26
10430418442;dropout;NA;No valid responses in Q1-Q26
10430374265;dropout;NA;No valid responses in Q1-Q26
10430371839;dropout;NA;No valid responses in Q1-Q26
10430368787;dropout;NA;No valid responses in Q1-Q26
10430349137;dropout;NA;No valid responses in Q1-Q26
10430334222;dropout;NA;No valid responses in Q1-Q26
10425164458;dropout;NA;No valid responses in Q1-Q26
10424812110;dropout;NA;No valid responses in Q1-Q26
10424521530;dropout;NA;No valid responses in Q1-Q26
10424277407;dropout;NA;No valid responses in Q1-Q26
10423880820;dropout;NA;No valid responses in Q1-Q26
10423838980;dropout;NA;No valid responses in Q1-Q26
10423771228;dropout;NA;No valid responses in Q1-Q26
10423594831;dropout;NA;No valid responses in Q1-Q26
10422976941;dropout;NA;No valid responses in Q1-Q26
10422795913;dropout;NA;No valid responses in Q1-Q26
10422620215;dropout;NA;No valid responses in Q1-Q26
10422113972;dropout;NA;No valid responses in Q1-Q26
10421838454;dropout;NA;No valid responses in Q1-Q26
10421838271;dropout;NA;No valid responses in Q1-Q26
10421831445;dropout;NA;No valid responses in Q1-Q26
10421734542;dropout;NA;No valid responses in Q1-Q26
10421692642;dropout;NA;No valid responses in Q1-Q26
10421644324;dropout;NA;No valid responses in Q1-Q26
10421431968;dropout;NA;No valid responses in Q1-Q26
10421353049;dropout;NA;No valid responses in Q1-Q26
10421328630;dropout;NA;No valid responses in Q1-Q26
10421285249;dropout;NA;No valid responses in Q1-Q26
10420970469;dropout;NA;No valid responses in Q1-Q26
10420911936;dropout;NA;No valid responses in Q1-Q26
10420874476;dropout;NA;No valid responses in Q1-Q26
10420789957;dropout;NA;No valid responses in Q1-Q26
10420761304;dropout;NA;No valid responses in Q1-Q26
10420723342;dropout;NA;No valid responses in Q1-Q26
10420650808;dropout;NA;No valid responses in Q1-Q26
10420574640;dropout;NA;No valid responses in Q1-Q26
10420545532;dropout;NA;No valid responses in Q1-Q26
10420545149;dropout;NA;No valid responses in Q1-Q26
10420539751;dropout;NA;No valid responses in Q1-Q26
10420512407;dropout;NA;No valid responses in Q1-Q26
10420493410;dropout;NA;No valid responses in Q1-Q26
10420487982;dropout;NA;No valid responses in Q1-Q26
10420374785;dropout;NA;No valid responses in Q1-Q26
10420371262;dropout;NA;No valid responses in Q1-Q26
10420357053;dropout;NA;No valid responses in Q1-Q26
10420356329;dropout;NA;No valid responses in Q1-Q26
10420323072;dropout;NA;No valid responses in Q1-Q26
10420320227;dropout;NA;No valid responses in Q1-Q26
10420308109;dropout;NA;No valid responses in Q1-Q26
10420297214;dropout;NA;No valid responses in Q1-Q26
10420257025;dropout;NA;No valid responses in Q1-Q26
10420255448;dropout;NA;No valid responses in Q1-Q26
10420240860;dropout;NA;No valid responses in Q1-Q26
10420218798;dropout;NA;No valid responses in Q1-Q26
10420213624;dropout;NA;No valid responses in Q1-Q26
10420187874;dropout;NA;No valid responses in Q1-Q26
10420159043;dropout;NA;No valid responses in Q1-Q26
10420141648;dropout;NA;No valid responses in Q1-Q26
10420138480;dropout;NA;No valid responses in Q1-Q26
10420131119;dropout;NA;No valid responses in Q1-Q26
10420122006;dropout;NA;No valid responses in Q1-Q26
10420121026;dropout;NA;No valid responses in Q1-Q26
10420117769;dropout;NA;No valid responses in Q1-Q26
10420114635;dropout;NA;No valid responses in Q1-Q26
