ID;LazR;Longstr;MD;IRV;LazR_FLAG;Longstr_FLAG;MD_FLAG;IRV_high_FLAG;IRV_low_FLAG;n_decision_flags;decision_evidence
10441016017;0,388;3;49,451;1,474;0;0;1;1;0;2;MD + IRV high
10440601239;0,493;6;79,044;1,468;0;0;1;1;0;2;MD + IRV high
10435102033;0,299;4;47,910;1,343;0;0;1;1;0;2;MD + IRV high
10431765247;0,798;11;17,712;0,392;1;1;0;0;1;2;Laz.R + IRV low
10431711908;0,668;10;16,820;0,533;1;1;0;0;1;2;Laz.R + IRV low
10430908587;0,425;4;82,686;1,479;0;0;1;1;0;2;MD + IRV high
10430799975;0,358;3;87,053;1,505;0;0;1;1;0;2;MD + IRV high
10430778231;0,527;9;86,173;1,787;0;1;1;1;0;2;MD + IRV high
10430681272;0,608;6;9,446;0,599;1;0;0;0;1;2;Laz.R + IRV low
10430646515;0,397;5;42,900;1,350;0;0;1;1;0;2;MD + IRV high
10430569669;0,811;14;9,480;0,344;1;1;0;0;1;2;Laz.R + IRV low
10430568688;0,423;7;70,362;1,379;0;0;1;1;0;2;MD + IRV high
10430519788;0,379;2;83,051;1,373;0;0;1;1;0;2;MD + IRV high
10423587809;0,636;7;46,742;1,132;1;0;1;0;0;2;Laz.R + MD
10422842906;0,739;17;20,459;1,472;1;1;0;1;0;2;Laz.R + IRV high
10422679302;0,356;4;61,138;1,440;0;0;1;1;0;2;MD + IRV high
10421513588;0,690;11;17,964;0,543;1;1;0;0;1;2;Laz.R + IRV low
10420783140;0,682;13;7,092;0,634;1;1;0;0;1;2;Laz.R + IRV low
10420602223;0,589;13;51,238;1,515;0;1;1;1;0;2;MD + IRV high
10420406686;0,529;5;90,510;1,415;0;0;1;1;0;2;MD + IRV high
10420341497;0,509;6;75,617;1,444;0;0;1;1;0;2;MD + IRV high
10420313048;0,727;10;10,570;0,431;1;1;0;0;1;2;Laz.R + IRV low
10420284773;0,407;5;49,247;1,394;0;0;1;1;0;2;MD + IRV high
10420232674;0,676;11;6,611;0,604;1;1;0;0;1;2;Laz.R + IRV low
10420183418;0,466;4;91,528;1,440;0;0;1;1;0;2;MD + IRV high
10420089480;0,431;4;63,352;1,373;0;0;1;1;0;2;MD + IRV high
10420067866;0,644;8;9,450;0,464;1;1;0;0;1;2;Laz.R + IRV low
10420062587;0,616;9;8,502;0,667;1;1;0;0;1;2;Laz.R + IRV low
10420061493;0,417;3;69,568;1,495;0;0;1;1;0;2;MD + IRV high
10410156139;0,344;3;69,568;1,362;0;0;1;1;0;2;MD + IRV high
10404865572;0,511;5;51,042;1,575;0;0;1;1;0;2;MD + IRV high
10402084969;0,401;4;62,800;1,463;0;0;1;1;0;2;MD + IRV high
10401866163;0,744;9;27,394;0,526;1;1;0;0;1;2;Laz.R + IRV low
10399108008;0,517;9;62,773;1,569;0;1;1;1;0;2;MD + IRV high
10398442026;1,000;26;19,734;0,000;1;1;0;0;1;2;Laz.R + IRV low
10398194124;0,500;6;52,701;1,370;0;0;1;1;0;2;MD + IRV high
10398179203;0,471;3;99,731;1,392;0;0;1;1;0;2;MD + IRV high
10398158555;0,442;3;88,818;1,646;0;0;1;1;0;2;MD + IRV high
10398138416;0,397;3;66,524;1,382;0;0;1;1;0;2;MD + IRV high
10398012957;0,413;4;67,205;1,341;0;0;1;1;0;2;MD + IRV high
10397843509;0,407;5;55,927;1,495;0;0;1;1;0;2;MD + IRV high
10397212961;0,420;4;67,267;1,416;0;0;1;1;0;2;MD + IRV high
10396972575;0,614;8;10,478;0,663;1;1;0;0;1;2;Laz.R + IRV low
10396778721;0,416;3;52,997;1,423;0;0;1;1;0;2;MD + IRV high
10396771895;0,422;5;69,984;1,383;0;0;1;1;0;2;MD + IRV high
10396713944;0,691;9;21,714;0,652;1;1;0;0;1;2;Laz.R + IRV low
10396644929;0,449;2;58,091;1,392;0;0;1;1;0;2;MD + IRV high
10396508006;0,741;11;25,066;0,628;1;1;0;0;1;2;Laz.R + IRV low
10396492145;0,613;8;18,322;0,516;1;1;0;0;1;2;Laz.R + IRV low
10396485531;0,490;5;52,686;1,434;0;0;1;1;0;2;MD + IRV high
10396454940;0,556;6;64,932;1,421;0;0;1;1;0;2;MD + IRV high
10396342415;0,811;11;10,859;0,344;1;1;0;0;1;2;Laz.R + IRV low
10396185096;0,396;4;79,346;1,366;0;0;1;1;0;2;MD + IRV high
10396160086;0,602;6;55,058;1,364;1;0;1;1;0;3;Laz.R + MD + IRV high
10396151810;0,539;6;71,627;1,497;0;0;1;1;0;2;MD + IRV high
10396128641;0,445;6;44,048;1,347;0;0;1;1;0;2;MD + IRV high
10396086300;0,382;6;51,683;1,581;0;0;1;1;0;2;MD + IRV high
10396070825;0,421;5;78,444;1,357;0;0;1;1;0;2;MD + IRV high
10396069123;0,436;6;49,396;1,434;0;0;1;1;0;2;MD + IRV high
10396066563;0,686;11;4,289;0,679;1;1;0;0;1;2;Laz.R + IRV low
10396035514;0,395;3;81,641;1,363;0;0;1;1;0;2;MD + IRV high
10372559741;0,426;8;49,983;1,589;0;1;1;1;0;2;MD + IRV high
