ID;criterio;valor;detalhe
10439125905;abandono;NA;Sem respostas válidas em Q1-Q26
10439033965;abandono;NA;Sem respostas válidas em Q1-Q26
10438787754;abandono;NA;Sem respostas válidas em Q1-Q26
10438718335;abandono;NA;Sem respostas válidas em Q1-Q26
10438355684;abandono;NA;Sem respostas válidas em Q1-Q26
10437302815;abandono;NA;Sem respostas válidas em Q1-Q26
10436259946;abandono;NA;Sem respostas válidas em Q1-Q26
10435354790;abandono;NA;Sem respostas válidas em Q1-Q26
10435076882;abandono;NA;Sem respostas válidas em Q1-Q26
10434378290;abandono;NA;Sem respostas válidas em Q1-Q26
10434011916;abandono;NA;Sem respostas válidas em Q1-Q26
10432760576;abandono;NA;Sem respostas válidas em Q1-Q26
10432686274;abandono;NA;Sem respostas válidas em Q1-Q26
10432642687;abandono;NA;Sem respostas válidas em Q1-Q26
10432514024;abandono;NA;Sem respostas válidas em Q1-Q26
10432086225;abandono;NA;Sem respostas válidas em Q1-Q26
10431807009;abandono;NA;Sem respostas válidas em Q1-Q26
10431679588;abandono;NA;Sem respostas válidas em Q1-Q26
10431649056;abandono;NA;Sem respostas válidas em Q1-Q26
10431628748;abandono;NA;Sem respostas válidas em Q1-Q26
10431621098;abandono;NA;Sem respostas válidas em Q1-Q26
10431479066;abandono;NA;Sem respostas válidas em Q1-Q26
10430822992;abandono;NA;Sem respostas válidas em Q1-Q26
10430807552;abandono;NA;Sem respostas válidas em Q1-Q26
10430781884;abandono;NA;Sem respostas válidas em Q1-Q26
10430765934;abandono;NA;Sem respostas válidas em Q1-Q26
10430668381;abandono;NA;Sem respostas válidas em Q1-Q26
10430636140;abandono;NA;Sem respostas válidas em Q1-Q26
10430625361;abandono;NA;Sem respostas válidas em Q1-Q26
10430513711;abandono;NA;Sem respostas válidas em Q1-Q26
10430497954;abandono;NA;Sem respostas válidas em Q1-Q26
10430495428;abandono;NA;Sem respostas válidas em Q1-Q26
10430491603;abandono;NA;Sem respostas válidas em Q1-Q26
10430481591;abandono;NA;Sem respostas válidas em Q1-Q26
10430477352;abandono;NA;Sem respostas válidas em Q1-Q26
10430472966;abandono;NA;Sem respostas válidas em Q1-Q26
10430470398;abandono;NA;Sem respostas válidas em Q1-Q26
10430461434;abandono;NA;Sem respostas válidas em Q1-Q26
10430428393;abandono;NA;Sem respostas válidas em Q1-Q26
10430422987;abandono;NA;Sem respostas válidas em Q1-Q26
10430418442;abandono;NA;Sem respostas válidas em Q1-Q26
10430374265;abandono;NA;Sem respostas válidas em Q1-Q26
10430371839;abandono;NA;Sem respostas válidas em Q1-Q26
10430368787;abandono;NA;Sem respostas válidas em Q1-Q26
10430349137;abandono;NA;Sem respostas válidas em Q1-Q26
10430334222;abandono;NA;Sem respostas válidas em Q1-Q26
10425164458;abandono;NA;Sem respostas válidas em Q1-Q26
10424812110;abandono;NA;Sem respostas válidas em Q1-Q26
10424521530;abandono;NA;Sem respostas válidas em Q1-Q26
10424277407;abandono;NA;Sem respostas válidas em Q1-Q26
10423880820;abandono;NA;Sem respostas válidas em Q1-Q26
10423838980;abandono;NA;Sem respostas válidas em Q1-Q26
10423771228;abandono;NA;Sem respostas válidas em Q1-Q26
10423594831;abandono;NA;Sem respostas válidas em Q1-Q26
10422976941;abandono;NA;Sem respostas válidas em Q1-Q26
10422795913;abandono;NA;Sem respostas válidas em Q1-Q26
10422620215;abandono;NA;Sem respostas válidas em Q1-Q26
10422113972;abandono;NA;Sem respostas válidas em Q1-Q26
10421838454;abandono;NA;Sem respostas válidas em Q1-Q26
10421838271;abandono;NA;Sem respostas válidas em Q1-Q26
10421831445;abandono;NA;Sem respostas válidas em Q1-Q26
10421734542;abandono;NA;Sem respostas válidas em Q1-Q26
10421692642;abandono;NA;Sem respostas válidas em Q1-Q26
10421644324;abandono;NA;Sem respostas válidas em Q1-Q26
10421431968;abandono;NA;Sem respostas válidas em Q1-Q26
10421353049;abandono;NA;Sem respostas válidas em Q1-Q26
10421328630;abandono;NA;Sem respostas válidas em Q1-Q26
10421285249;abandono;NA;Sem respostas válidas em Q1-Q26
10420970469;abandono;NA;Sem respostas válidas em Q1-Q26
10420911936;abandono;NA;Sem respostas válidas em Q1-Q26
10420874476;abandono;NA;Sem respostas válidas em Q1-Q26
10420789957;abandono;NA;Sem respostas válidas em Q1-Q26
10420761304;abandono;NA;Sem respostas válidas em Q1-Q26
10420723342;abandono;NA;Sem respostas válidas em Q1-Q26
10420650808;abandono;NA;Sem respostas válidas em Q1-Q26
10420574640;abandono;NA;Sem respostas válidas em Q1-Q26
10420545532;abandono;NA;Sem respostas válidas em Q1-Q26
10420545149;abandono;NA;Sem respostas válidas em Q1-Q26
10420539751;abandono;NA;Sem respostas válidas em Q1-Q26
10420512407;abandono;NA;Sem respostas válidas em Q1-Q26
10420493410;abandono;NA;Sem respostas válidas em Q1-Q26
10420487982;abandono;NA;Sem respostas válidas em Q1-Q26
10420374785;abandono;NA;Sem respostas válidas em Q1-Q26
10420371262;abandono;NA;Sem respostas válidas em Q1-Q26
10420357053;abandono;NA;Sem respostas válidas em Q1-Q26
10420356329;abandono;NA;Sem respostas válidas em Q1-Q26
10420323072;abandono;NA;Sem respostas válidas em Q1-Q26
10420320227;abandono;NA;Sem respostas válidas em Q1-Q26
10420308109;abandono;NA;Sem respostas válidas em Q1-Q26
10420297214;abandono;NA;Sem respostas válidas em Q1-Q26
10420257025;abandono;NA;Sem respostas válidas em Q1-Q26
